model_a,effort_a,model_b,effort_b,current_iq_a,current_iq_b,current_delta_iq,abs_delta_iq,shared_tasks,bootstrap_mean_delta,bootstrap_p05,bootstrap_p10,bootstrap_p25,bootstrap_p50,bootstrap_p75,bootstrap_p90,bootstrap_p95,prob_a_gt_b,prob_b_gt_a,ci90_contains_zero,ci95_contains_zero,weight_mode,weight_status
gpt-6-astra,ultra,gpt-5.6-sol,low,108.33,81.7,26.629999999999995,26.629999999999995,112,24.114843749999938,12.946428571428575,15.40178571428571,19.642857142857157,24.107142857142872,28.794642857142872,32.812499999999986,35.04464285714288,0.9998,0.0002,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-sol,medium,108.33,95.54,12.789999999999992,12.789999999999992,112,10.220290178571304,-1.1160714285713913,1.3392857142857095,5.5803571428571725,10.267857142857139,14.787946428571447,18.750000000000032,21.42857142857142,0.9296,0.0682,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-sol,high,108.33,96.88,11.450000000000003,11.450000000000003,112,8.873415178571497,-1.1160714285714421,0.8928571428571563,4.6875,8.92857142857143,12.946428571428612,16.74107142857142,18.75000000000005,0.9253,0.0726,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-sol,xhigh,108.33,99.11,9.219999999999999,9.219999999999999,112,6.607477678571432,-3.3482142857142905,-1.3392857142856929,2.455357142857151,6.473214285714321,10.714285714285726,14.508928571428553,16.741071428571434,0.8581,0.1385,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-sol,max,108.33,107.14,1.1899999999999977,1.1899999999999977,112,-1.4386830357142666,-10.937499999999961,-8.705357142857146,-5.357142857142838,-1.3392857142857428,2.4553571428571175,5.803571428571393,7.812499999999989,0.4008,0.5945,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-sol,ultra,108.33,100.89,7.439999999999998,7.439999999999998,112,4.811540178571401,-4.464285714285715,-2.455357142857151,1.1160714285714246,4.687500000000017,8.705357142857128,12.05357142857142,13.839285714285715,0.806,0.1907,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-terra,low,108.33,51.34,56.989999999999995,56.989999999999995,112,54.43837053571421,42.41071428571428,44.86607142857146,49.55357142857144,54.464285714285715,59.37500000000001,63.616071428571445,66.29464285714288,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-terra,medium,108.33,58.48,49.85,49.85,112,47.23850446428559,35.26785714285716,37.94642857142857,42.41071428571428,47.09821428571432,52.232142857142854,56.69642857142853,58.928571428571445,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-terra,high,108.33,77.68,30.64999999999999,30.64999999999999,112,28.077299107142853,16.517857142857135,18.973214285714334,23.43749999999998,28.125,32.8125,37.05357142857142,39.508928571428584,0.9999,0.0001,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-terra,xhigh,108.33,87.95,20.379999999999995,20.379999999999995,112,17.814620535714187,7.366071428571402,9.598214285714302,13.61607142857143,17.85714285714286,22.098214285714306,25.892857142857185,28.348214285714334,0.9972,0.0026,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-terra,max,108.33,101.34,6.989999999999995,6.989999999999995,112,4.328638392857128,-5.58035714285714,-3.3482142857142905,0.22321428571430157,4.464285714285657,8.258928571428592,11.830357142857185,14.285714285714269,0.7627,0.2328,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-terra,ultra,108.33,99.11,9.219999999999999,9.219999999999999,112,6.5722544642857015,-2.678571428571436,-0.892857142857123,2.678571428571436,6.696428571428564,10.491071428571392,13.839285714285731,16.07142857142858,0.8715,0.1256,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-luna,low,108.33,7.59,100.74,100.74,112,98.15863839285684,87.27678571428572,89.73214285714286,93.75,98.21428571428571,102.67857142857143,106.69642857142856,108.92857142857144,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-luna,medium,108.33,32.14,76.19,76.19,112,73.65453125000056,61.60714285714287,64.28571428571429,68.75000000000003,73.88392857142857,78.57142857142856,82.81249999999999,85.26785714285714,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-luna,high,108.33,76.34,31.989999999999995,31.989999999999995,112,29.390156249999798,18.526785714285715,20.982142857142858,24.999999999999993,29.24107142857146,33.92857142857143,37.94642857142857,40.189732142857004,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-luna,xhigh,108.33,87.05,21.28,21.28,112,18.694843749999997,8.705357142857128,10.714285714285744,14.508928571428603,18.75,22.76785714285716,26.562500000000007,28.79464285714289,0.9989,0.0011,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.6-luna,max,108.33,102.68,5.6499999999999915,5.6499999999999915,112,3.0489062500000075,-6.249999999999995,-4.241071428571431,-0.8928571428571064,3.1250000000000053,6.919642857142849,10.267857142857157,12.27678571428572,0.7039,0.29,true,true,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.5,high,108.33,90.18,18.14999999999999,18.14999999999999,112,15.608325892857064,4.464285714285715,6.9196428571428825,10.937500000000044,15.624999999999995,20.089285714285758,24.33035714285714,26.785714285714292,0.9906,0.009,false,false,unweighted,site_task_weight_not_confirmed
gpt-6-astra,ultra,gpt-5.5,xhigh,108.33,96.88,11.450000000000003,11.450000000000003,112,8.886674107142769,-2.4553571428571344,0,4.241071428571414,8.928571428571397,13.616071428571397,17.85714285714286,20.089285714285744,0.8998,0.0981,true,true,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-sol,medium,81.7,95.54,-13.840000000000003,13.840000000000003,112,-13.89455357142845,-21.87500000000002,-20.089285714285726,-17.410714285714256,-13.839285714285749,-10.714285714285692,-7.589285714285721,-5.803571428571458,0.0032,0.9967,false,false,unweighted,site_task_weight_not_confirmed
