model,effort,mode,plan,iq,cost,minutes,family_capacity_20x,plan_capacity,weekly_share,eligible_gate_015,eligible_gate_020,eligible_gate_025,eligible_gate_030,eligible_gate_040,eligible_gate_050,eligible_gate_060,eligible_gate_080,fast_ratio,quota_status
gpt-5.6-sol,medium,Fast,Pro5,95.54,7.3101275,11.678652117007406,1919.83,479.9575,0.015230780850387796,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,medium,Fast,Pro20,95.54,7.3101275,11.678652117007406,1919.83,1919.83,0.003807695212596949,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,high,Standard,Plus,96.88,4.095264,19.89,1919.83,95.9915,0.042662777433418585,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,high,Standard,Pro5,96.88,4.095264,19.89,1919.83,479.9575,0.008532555486683718,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,high,Standard,Pro20,96.88,4.095264,19.89,1919.83,1919.83,0.0021331388716709296,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,high,Fast,Plus,96.88,10.23816,14.445795435775954,1919.83,95.9915,0.10665694358354647,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,high,Fast,Pro5,96.88,10.23816,14.445795435775954,1919.83,479.9575,0.021331388716709292,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,high,Fast,Pro20,96.88,10.23816,14.445795435775954,1919.83,1919.83,0.005332847179177323,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,xhigh,Standard,Plus,99.11,5.194649,24.46,1919.83,95.9915,0.054115718579249204,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,xhigh,Standard,Pro5,99.11,5.194649,24.46,1919.83,479.9575,0.010823143715849842,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,xhigh,Standard,Pro20,99.11,5.194649,24.46,1919.83,1919.83,0.0027057859289624604,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,xhigh,Fast,Plus,99.11,12.9866225,17.76491484962694,1919.83,95.9915,0.13528929644812301,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,xhigh,Fast,Pro5,99.11,12.9866225,17.76491484962694,1919.83,479.9575,0.027057859289624602,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,xhigh,Fast,Pro20,99.11,12.9866225,17.76491484962694,1919.83,1919.83,0.0067644648224061505,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,max,Standard,Plus,107.14,7.970848,34.1,1919.83,95.9915,0.08303701890271535,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,max,Standard,Pro5,107.14,7.970848,34.1,1919.83,479.9575,0.01660740378054307,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,max,Standard,Pro20,107.14,7.970848,34.1,1919.83,1919.83,0.004151850945135768,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,max,Fast,Plus,107.14,19.927120000000002,24.766295845146306,1919.83,95.9915,0.20759254725678838,false,false,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,max,Fast,Pro5,107.14,19.927120000000002,24.766295845146306,1919.83,479.9575,0.041518509451357676,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,max,Fast,Pro20,107.14,19.927120000000002,24.766295845146306,1919.83,1919.83,0.010379627362839419,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,ultra,Standard,Plus,100.89,24.450903,53.06,1919.83,95.9915,0.2547194595354797,false,false,false,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,ultra,Standard,Pro5,100.89,24.450903,53.06,1919.83,479.9575,0.050943891907095945,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,ultra,Standard,Pro20,100.89,24.450903,53.06,1919.83,1919.83,0.012735972976773986,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-sol,ultra,Fast,Plus,100.89,61.1272575,38.536646848781906,1919.83,95.9915,0.6367986488386992,false,false,false,false,false,false,false,true,1.3768712210018645,available
gpt-5.6-sol,ultra,Fast,Pro5,100.89,61.1272575,38.536646848781906,1919.83,479.9575,0.12735972976773985,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-sol,ultra,Fast,Pro20,100.89,61.1272575,38.536646848781906,1919.83,1919.83,0.03183993244193496,true,true,true,true,true,true,true,true,1.3768712210018645,available
gpt-5.6-terra,low,Standard,Plus,51.34,0.485141,8.08,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,low,Standard,Pro5,51.34,0.485141,8.08,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,low,Standard,Pro20,51.34,0.485141,8.08,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,low,Fast,Plus,51.34,1.2128525,5.816282608084109,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,low,Fast,Pro5,51.34,1.2128525,5.816282608084109,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,low,Fast,Pro20,51.34,1.2128525,5.816282608084109,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
